Ticker,name,exchange,primary,btc,eth,liabilities,sharesout
BTCT.V, Bitcoin Treasury Corp,TSXV,BTC ,771,0,25000000,10080000
MATA.V,Matador Technologies Inc,TSXV,BTC ,77,0,0,10590000
SWC.AQ,The Smarter Web Company PLC,AQUIS,BTC ,2395,0,1380000,265600000
3350.T,Metaplanet,TYO,BTC ,18888,0,30600000,692910000
CEP,XXI,NASDAQ ,BTC ,43514,0,105500000,12800000
SQNS,Sequans Communications,NYSE,BTC ,3170,0,46800000,142720000
HOLO,Microccloud Hologram,NASDAQ ,BTC ,2353,0,4400000,5130000
SATS.L,Satsuma Technology ,LON,BTC ,1126,0,700000,491800000
DJT,Trump Media & Technology Group Corp.,NASDAQ ,BTC ,15000,0,965100000,276900000
MSTR,Strategy,NASDAQ ,BTC ,629376,0,14402500000,281000000
NA ,Nano Labs ,NASDAQ ,BTC ,1000,0,52500000,23100000
ADE.DE ,Bitcoin Group SE ,ETR,BTC ,3605,0,110500000,5090000
BMNR ,Bitmine Immersion Technologies ,NYSE ,ETH,0,1520000,5400000,112310000
FGNX ,Fundamental Global Inc ,NASDSAQ,ETH,0,47331,23500000,1320000
SBET ,Sharplink Gaming ,NASDSAQ,ETH,0,740760,700000,139290000
